"","parent","node","branch.length","label"
"345",344,345,2.862698,NA
"346",345,346,2.972551,NA
"347",345,347,3.071346,NA
"348",344,348,5.523505,NA
"349",300,349,12.721914,NA
"350",349,350,5.523206,NA
"351",350,351,9.197368,NA
"352",351,352,0.626828,NA
"353",352,353,1.041696,NA
"354",353,354,0.361527,NA
"355",354,355,1.861205,NA
"356",355,356,1.168775,NA
"357",356,357,0.498087,NA
"358",355,358,1.078351,NA
"359",353,359,1.463646,NA
"360",352,360,3.183822,NA
"361",350,361,5.739079,NA
"362",361,362,1.079679,NA
"363",362,363,2.492962,NA
"364",363,364,4.479465,NA
"365",364,365,0.444813,NA
"366",365,366,0.575393,NA
"367",349,367,19.272276,NA
"368",298,368,24.736553,NA
"369",368,369,3.364744,NA
"370",369,370,15.900706,NA
"371",370,371,17.782307,NA
"372",369,372,10.577729,NA
"373",372,373,23.295639,NA
"374",372,374,15.551281,NA
"375",374,375,5.551747,NA
"376",375,376,0.731243,NA
"377",376,377,1.807212,NA
"378",368,378,20.868815,NA
"379",378,379,3.766768,NA
"380",379,380,2.838611,NA
"381",379,381,12.530469,NA
